genome,completeness,contamination,location,length,N50
EHA04823_bin.54.fa.gz,94.84,0.72,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04823_bin.54.fa.gz,1049664,53900
EHA04823_bin.257.fa.gz,94.82,8.49,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04823_bin.257.fa.gz,663599,5541
EHA04823_bin.144.fa.gz,94.78,1.5,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04823_bin.144.fa.gz,2159683,40896
EHA04815_bin.182.fa.gz,94.77,0.23,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04815_bin.182.fa.gz,1166535,4024
EHA04823_bin.17.fa.gz,94.77,2.67,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04823_bin.17.fa.gz,2178096,8380
EHA04823_bin.221.fa.gz,94.76,0.23,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04823_bin.221.fa.gz,1368641,15121
EHA04815_bin.136.fa.gz,94.7,0.0,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04815_bin.136.fa.gz,1734844,16485
EHA04815_bin.150.fa.gz,94.68,0.28,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04815_bin.150.fa.gz,1511664,68907
EHA04823_bin.15.fa.gz,94.62,2.81,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04823_bin.15.fa.gz,1489027,4577
EHA04815_bin.178.fa.gz,94.59,0.08,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04815_bin.178.fa.gz,1946065,35546
EHA04823_bin.279.fa.gz,94.59,3.49,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04823_bin.279.fa.gz,2839831,4846
EHA04823_bin.48.fa.gz,94.45,0.52,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04823_bin.48.fa.gz,2434792,30038
EHA04823_bin.155.fa.gz,94.38,0.1,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04823_bin.155.fa.gz,2932940,41200
EHA04815_bin.134.fa.gz,94.28,0.05,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04815_bin.134.fa.gz,1934227,86075
EHA04815_bin.141.fa.gz,94.13,0.92,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04815_bin.141.fa.gz,1191276,90268
EHA04744_bin.8.fa.gz,94.08,2.29,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04744_bin.8.fa.gz,1172471,2909
EHA04823_bin.117.fa.gz,94.08,0.03,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04823_bin.117.fa.gz,1687462,109894
EHA04823_bin.303.fa.gz,94.07,2.86,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04823_bin.303.fa.gz,618020,2675
EHA04815_bin.52.fa.gz,94.03,0.41,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04815_bin.52.fa.gz,1431130,52251
EHA04823_bin.180.fa.gz,93.88,0.19,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04823_bin.180.fa.gz,1169079,4601
EHA04823_bin.167.fa.gz,93.74,0.43,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04823_bin.167.fa.gz,1445117,12084
EHA04823_bin.251.fa.gz,93.73,1.59,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04823_bin.251.fa.gz,2209285,19658
EHA04823_bin.248.fa.gz,93.71,7.38,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04823_bin.248.fa.gz,1803365,151741
EHA04823_bin.76.fa.gz,93.64,0.47,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04823_bin.76.fa.gz,1363771,3242
EHA04815_bin.117.fa.gz,93.63,0.83,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04815_bin.117.fa.gz,2626424,46459
EHA04815_bin.156.fa.gz,93.63,0.29,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04815_bin.156.fa.gz,1896138,75914
EHA04747_bin.26.fa.gz,93.6,0.51,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04747_bin.26.fa.gz,1812973,3078
EHA04823_bin.103.fa.gz,93.44,2.17,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04823_bin.103.fa.gz,2519195,50767
EHA04823_bin.200.fa.gz,93.42,1.26,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04823_bin.200.fa.gz,1546408,14960
EHA04823_bin.142.fa.gz,93.41,0.14,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04823_bin.142.fa.gz,2315170,10468
EHA04815_bin.72.fa.gz,93.33,2.5,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04815_bin.72.fa.gz,2126768,149614
EHA04823_bin.209.fa.gz,93.08,0.29,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04823_bin.209.fa.gz,745697,3239
EHA04823_bin.112.fa.gz,93.0,3.01,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04823_bin.112.fa.gz,1849594,52424
EHA04815_bin.27.fa.gz,92.96,1.85,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04815_bin.27.fa.gz,1990065,46398
EHA04815_bin.160.fa.gz,92.95,0.26,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04815_bin.160.fa.gz,846889,25022
EHA04823_bin.44.fa.gz,92.94,1.57,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04823_bin.44.fa.gz,1980316,6189
EHA04823_bin.51.fa.gz,92.92,0.11,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04823_bin.51.fa.gz,1608109,90000
EHA04823_bin.162.fa.gz,92.8,0.08,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04823_bin.162.fa.gz,1625552,223316
EHA04747_bin.21.fa.gz,92.78,0.07,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04747_bin.21.fa.gz,1216534,3636
EHA04815_bin.190.fa.gz,92.75,3.51,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04815_bin.190.fa.gz,913520,9931
EHA04823_bin.171.fa.gz,92.75,3.7,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04823_bin.171.fa.gz,1321585,2666
EHA04815_bin.35.fa.gz,92.72,0.17,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04815_bin.35.fa.gz,1328421,72218
EHA04815_bin.155.fa.gz,92.64,3.54,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04815_bin.155.fa.gz,1747789,91360
EHA04815_bin.176.fa.gz,92.63,1.7,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04815_bin.176.fa.gz,2655662,10128
EHA04815_bin.181.fa.gz,92.57,0.36,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04815_bin.181.fa.gz,1575138,71261
EHA04823_bin.141.fa.gz,92.31,3.85,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04823_bin.141.fa.gz,1841785,3251
EHA04815_bin.26.fa.gz,92.06,0.16,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04815_bin.26.fa.gz,3138262,6965
EHA04823_bin.217.fa.gz,92.05,0.79,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04823_bin.217.fa.gz,1236638,7187
EHA04815_bin.177.fa.gz,92.03,0.49,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04815_bin.177.fa.gz,1839113,78232
EHA04823_bin.230.fa.gz,92.0,0.1,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04823_bin.230.fa.gz,2475908,23872
EHA04823_bin.136.fa.gz,91.99,0.07,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04823_bin.136.fa.gz,1528997,2725
EHA04823_bin.222.fa.gz,91.97,4.68,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04823_bin.222.fa.gz,1931768,4650
EHA04815_bin.122.fa.gz,91.88,0.13,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04815_bin.122.fa.gz,1945831,11950
EHA04823_bin.187.fa.gz,91.86,5.91,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04823_bin.187.fa.gz,874867,15879
EHA04823_bin.116.fa.gz,91.8,3.98,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04823_bin.116.fa.gz,1978539,44178
EHA04815_bin.179.fa.gz,91.78,1.17,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04815_bin.179.fa.gz,1985977,18217
EHA04823_bin.188.fa.gz,91.76,0.17,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04823_bin.188.fa.gz,2458548,39578
EHA04743_bin.38.fa.gz,91.75,0.93,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04743_bin.38.fa.gz,2180821,20253
EHA04823_bin.268.fa.gz,91.64,4.7,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04823_bin.268.fa.gz,2196824,22846
EHA04815_bin.92.fa.gz,91.56,0.49,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04815_bin.92.fa.gz,2312178,43583
EHA04815_bin.65.fa.gz,91.49,0.13,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04815_bin.65.fa.gz,1533082,3678
EHA04815_bin.34.fa.gz,91.44,1.14,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04815_bin.34.fa.gz,1569114,10305
EHA04815_bin.77.fa.gz,91.37,0.18,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04815_bin.77.fa.gz,1681288,9482
EHA04815_bin.64.fa.gz,91.28,4.02,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04815_bin.64.fa.gz,2204659,24552
EHA04823_bin.114.fa.gz,91.09,3.2,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04823_bin.114.fa.gz,2948444,5008
EHA04815_bin.129.fa.gz,90.93,1.36,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04815_bin.129.fa.gz,1823159,11143
EHA04823_bin.64.fa.gz,90.9,5.25,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04823_bin.64.fa.gz,1606489,6718
EHA04823_bin.231.fa.gz,90.87,2.82,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04823_bin.231.fa.gz,2227101,7790
EHA04815_bin.68.fa.gz,90.71,5.67,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04815_bin.68.fa.gz,1915905,79700
EHA04749_bin.1.fa.gz,90.69,1.03,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04749_bin.1.fa.gz,1481561,5164
EHA04815_bin.14.fa.gz,90.49,3.13,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04815_bin.14.fa.gz,2121071,13174
EHA04823_bin.277.fa.gz,90.49,0.54,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04823_bin.277.fa.gz,983566,13607
EHA04823_bin.236.fa.gz,90.4,2.22,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04823_bin.236.fa.gz,1582749,2696
EHA04823_bin.66.fa.gz,90.32,0.68,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04823_bin.66.fa.gz,2169768,3491
EHA04823_bin.87.fa.gz,90.25,0.01,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04823_bin.87.fa.gz,1848506,30123
EHA04815_bin.154.fa.gz,90.12,0.9,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04815_bin.154.fa.gz,1009378,23154
EHA04748_bin.40.fa.gz,90.1,0.01,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04748_bin.40.fa.gz,2163852,45170
EHA04823_bin.166.fa.gz,90.06,0.58,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04823_bin.166.fa.gz,2521102,55982
EHA04823_bin.38.fa.gz,90.0,2.01,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04823_bin.38.fa.gz,1795655,29306
EHA04823_bin.75.fa.gz,89.86,2.86,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04823_bin.75.fa.gz,2197557,125871
EHA04815_bin.66.fa.gz,89.8,1.56,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04815_bin.66.fa.gz,1582238,8111
EHA04815_bin.7.fa.gz,89.8,3.98,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04815_bin.7.fa.gz,1713785,5010
EHA04823_bin.255.fa.gz,89.7,0.36,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04823_bin.255.fa.gz,1412091,50280
EHA04823_bin.43.fa.gz,89.31,1.63,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04823_bin.43.fa.gz,2547545,26895
EHA04823_bin.242.fa.gz,89.16,0.03,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04823_bin.242.fa.gz,1117921,32002
EHA04823_bin.184.fa.gz,89.07,1.22,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04823_bin.184.fa.gz,2213678,19578
EHA04823_bin.232.fa.gz,89.03,0.08,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04823_bin.232.fa.gz,2190743,3518
EHA04815_bin.123.fa.gz,88.93,1.91,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04815_bin.123.fa.gz,2128205,30089
EHA04815_bin.23.fa.gz,88.71,0.61,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04815_bin.23.fa.gz,1520385,4651
EHA04823_bin.170.fa.gz,88.66,2.07,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04823_bin.170.fa.gz,2611688,27572
EHA04823_bin.36.fa.gz,88.65,2.46,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04823_bin.36.fa.gz,2325916,36934
EHA04823_bin.273.fa.gz,88.53,5.3,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04823_bin.273.fa.gz,1947046,32164
EHA04823_bin.96.fa.gz,88.32,2.26,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04823_bin.96.fa.gz,2767541,25131
EHA04823_bin.4.fa.gz,88.25,0.36,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04823_bin.4.fa.gz,1981096,31497
EHA04823_bin.176.fa.gz,88.16,1.09,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04823_bin.176.fa.gz,952807,5047
EHA04823_bin.69.fa.gz,88.09,2.05,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04823_bin.69.fa.gz,1493647,11888
EHA04823_bin.181.fa.gz,88.01,1.55,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04823_bin.181.fa.gz,1174253,11799
EHA04823_bin.148.fa.gz,87.94,2.54,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04823_bin.148.fa.gz,2465647,34943
EHA04815_bin.91.fa.gz,87.9,2.72,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04815_bin.91.fa.gz,1333694,3688
EHA04823_bin.247.fa.gz,87.84,2.85,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04823_bin.247.fa.gz,1957238,3367
EHA04815_bin.42.fa.gz,87.62,1.13,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04815_bin.42.fa.gz,1536713,6804
EHA04823_bin.211.fa.gz,87.61,5.2,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04823_bin.211.fa.gz,2236598,41657
EHA04823_bin.198.fa.gz,87.48,7.64,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04823_bin.198.fa.gz,2089363,12416
EHA04823_bin.86.fa.gz,87.37,2.04,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04823_bin.86.fa.gz,1298445,3207
EHA04823_bin.41.fa.gz,87.33,4.24,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04823_bin.41.fa.gz,2324436,114375
EHA04823_bin.270.fa.gz,87.21,0.55,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04823_bin.270.fa.gz,1776253,6128
EHA04823_bin.220.fa.gz,87.2,0.0,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04823_bin.220.fa.gz,1205286,32186
EHA04823_bin.194.fa.gz,87.18,2.36,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04823_bin.194.fa.gz,1526547,57652
EHA04747_bin.49.fa.gz,87.12,9.74,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04747_bin.49.fa.gz,835202,7381
EHA04823_bin.299.fa.gz,87.11,6.61,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04823_bin.299.fa.gz,1429666,2842
EHA04750_bin.40.fa.gz,87.08,0.18,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04750_bin.40.fa.gz,991924,10893
EHA04823_bin.68.fa.gz,87.03,0.91,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04823_bin.68.fa.gz,927353,3037
EHA04823_bin.179.fa.gz,86.97,0.19,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04823_bin.179.fa.gz,2002801,31600
EHA04823_bin.127.fa.gz,86.86,2.02,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04823_bin.127.fa.gz,2781761,61731
EHA04823_bin.70.fa.gz,86.85,3.87,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04823_bin.70.fa.gz,1783192,120766
EHA04815_bin.13.fa.gz,86.69,1.97,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04815_bin.13.fa.gz,1883861,5932
EHA04815_bin.46.fa.gz,86.67,0.07,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04815_bin.46.fa.gz,2816691,95584
EHA04823_bin.9.fa.gz,86.64,1.33,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04823_bin.9.fa.gz,3230827,6462
EHA04823_bin.45.fa.gz,86.45,0.31,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04823_bin.45.fa.gz,1571985,115346
EHA04823_bin.79.fa.gz,86.43,4.45,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04823_bin.79.fa.gz,2157427,51739
EHA04815_bin.44.fa.gz,86.37,2.69,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04815_bin.44.fa.gz,2187751,11486
EHA04823_bin.106.fa.gz,86.18,5.89,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04823_bin.106.fa.gz,1949901,16572
EHA04823_bin.62.fa.gz,86.18,3.18,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04823_bin.62.fa.gz,1768974,4996
EHA04823_bin.182.fa.gz,86.15,2.75,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04823_bin.182.fa.gz,2332853,10385
EHA04815_bin.169.fa.gz,86.13,3.45,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04815_bin.169.fa.gz,1413826,14230
EHA04815_bin.61.fa.gz,86.08,0.02,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04815_bin.61.fa.gz,1695278,58627
EHA04823_bin.272.fa.gz,85.85,2.46,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04823_bin.272.fa.gz,1883837,76894
EHA04823_bin.281.fa.gz,85.76,6.47,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04823_bin.281.fa.gz,760805,8542
EHA04823_bin.22.fa.gz,85.49,2.42,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04823_bin.22.fa.gz,1012465,165151
EHA04815_bin.167.fa.gz,85.3,0.06,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04815_bin.167.fa.gz,1514805,17934
EHA04823_bin.240.fa.gz,85.19,0.1,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04823_bin.240.fa.gz,2042271,13964
EHA04815_bin.48.fa.gz,85.12,1.78,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04815_bin.48.fa.gz,1840014,5680
EHA04823_bin.67.fa.gz,85.09,4.4,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04823_bin.67.fa.gz,3186363,79642
EHA04823_bin.56.fa.gz,84.97,3.73,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04823_bin.56.fa.gz,1052943,4575
EHA04823_bin.174.fa.gz,84.95,5.16,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04823_bin.174.fa.gz,960597,14174
EHA04823_bin.107.fa.gz,84.79,0.05,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04823_bin.107.fa.gz,2426789,37678
EHA04815_bin.94.fa.gz,84.7,0.46,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04815_bin.94.fa.gz,1052667,3110
EHA04815_bin.164.fa.gz,84.63,0.09,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04815_bin.164.fa.gz,1810889,34334
EHA04750_bin.38.fa.gz,84.54,1.23,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04750_bin.38.fa.gz,1612884,3372
EHA04750_bin.41.fa.gz,84.53,0.38,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04750_bin.41.fa.gz,1896649,9409
EHA04823_bin.154.fa.gz,84.49,0.85,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04823_bin.154.fa.gz,1823510,4053
EHA04823_bin.2.fa.gz,84.42,7.27,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04823_bin.2.fa.gz,2464943,28947
EHA04823_bin.244.fa.gz,84.27,3.02,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04823_bin.244.fa.gz,893768,34816
EHA04823_bin.185.fa.gz,84.16,5.95,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04823_bin.185.fa.gz,901296,12603
EHA04823_bin.104.fa.gz,83.96,0.29,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04823_bin.104.fa.gz,1954575,8626
EHA04823_bin.233.fa.gz,83.75,0.76,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04823_bin.233.fa.gz,759972,5083
EHA04823_bin.190.fa.gz,83.56,2.94,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04823_bin.190.fa.gz,983254,11226
EHA04823_bin.243.fa.gz,83.43,3.35,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04823_bin.243.fa.gz,1797750,81311
EHA04823_bin.215.fa.gz,83.41,0.78,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04823_bin.215.fa.gz,996927,25058
EHA04815_bin.19.fa.gz,83.27,0.0,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04815_bin.19.fa.gz,4131063,131660
EHA04823_bin.59.fa.gz,83.23,2.88,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04823_bin.59.fa.gz,2002627,27716
EHA04823_bin.131.fa.gz,83.14,0.7,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04823_bin.131.fa.gz,1329951,5025
EHA04815_bin.57.fa.gz,83.1,1.89,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04815_bin.57.fa.gz,1342680,2274
EHA04815_bin.80.fa.gz,83.03,2.3,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04815_bin.80.fa.gz,1588165,79545
EHA04823_bin.97.fa.gz,83.02,1.44,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04823_bin.97.fa.gz,1314785,3170
EHA04823_bin.101.fa.gz,82.58,0.26,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04823_bin.101.fa.gz,2006627,19594
EHA04823_bin.150.fa.gz,82.22,3.83,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04823_bin.150.fa.gz,1791010,23906
EHA04815_bin.110.fa.gz,82.18,0.49,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04815_bin.110.fa.gz,2629638,11265
EHA04815_bin.45.fa.gz,82.08,1.56,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04815_bin.45.fa.gz,1499872,4237
EHA04823_bin.183.fa.gz,81.99,0.54,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04823_bin.183.fa.gz,2458900,17964
EHA04823_bin.265.fa.gz,81.9,1.35,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04823_bin.265.fa.gz,1037043,7978
EHA04815_bin.184.fa.gz,81.89,0.94,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04815_bin.184.fa.gz,1382364,7574
EHA04823_bin.135.fa.gz,81.75,0.27,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04823_bin.135.fa.gz,1647750,28623
EHA04815_bin.41.fa.gz,81.41,0.64,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04815_bin.41.fa.gz,1871995,5278
EHA04815_bin.158.fa.gz,81.4,0.55,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04815_bin.158.fa.gz,2220032,18742
EHA04747_bin.4.fa.gz,81.08,0.0,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04747_bin.4.fa.gz,963931,2624
EHA04823_bin.110.fa.gz,80.95,1.39,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04823_bin.110.fa.gz,2124128,10843
EHA04823_bin.126.fa.gz,80.93,0.14,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04823_bin.126.fa.gz,3451430,12468
EHA04815_bin.157.fa.gz,80.87,0.36,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04815_bin.157.fa.gz,1753518,46854
EHA04823_bin.224.fa.gz,80.81,2.46,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04823_bin.224.fa.gz,1238406,86258
EHA04815_bin.55.fa.gz,80.63,2.39,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04815_bin.55.fa.gz,2406440,117398
EHA04823_bin.227.fa.gz,80.5,1.72,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04823_bin.227.fa.gz,1776949,4581
EHA04823_bin.266.fa.gz,80.5,6.81,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04823_bin.266.fa.gz,1796904,93648
EHA04823_bin.6.fa.gz,80.24,0.56,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04823_bin.6.fa.gz,1651415,5810
EHA04748_bin.50.fa.gz,80.13,5.09,3_Outputs/5_Refined_Bins/All_metawrap_70_10_bins/EHA04748_bin.50.fa.gz,1432688,3055
