ID,mag_name,link_to_assembly,GTDB_version,domain,phylum,class,order,family,genus,species,host_species,closest_placement_ani,completeness,contamination,size,GC,N50,contigs,number_genes,cazy_hits,pfam_hits,kegg_hits,number_unannotated_genes,percent_unannotated_genes,DM_batch,closest_placement_af,fastani_ani,MAG_url,AB_batch,taxonomy_level,DM_batch 2,sample_type,anno_url,gbk_url,kegg_url,annotated,dereplicated,coding_density,host_order,host_class,percent_unannotated_kegg
EHM070463,EHA04823_bin.121.fa,EHA04823,2.3.0,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Christensenellales,f__CAG-74,g__,s__,Lasiorhinus latifrons,0,97.89,0.94,2190203,49.00%,26234,160,2100,96,1700,1015,375,17.9,DMB0170,0,0,https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0583/EHA04823_bin.121.fa.gz,ABB0583,Family,,Faecal,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM070463_anno.tsv.gz,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM070463.gbk.gz,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM070463_kegg.tsv.gz,TRUE,DMB0170,0.91,Diprotodontia,Mammalia,51.7
EHM070666,EHA04823_bin.35.fa,EHA04823,2.3.0,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Peptostreptococcales,f__Anaerovoracaceae,g__RGIG1899,s__,Lasiorhinus latifrons,0,97.87,0.03,2539157,53.00%,46835,101,1492,25,1170,730,303,20.3,DMB0170,0,0,https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0583/EHA04823_bin.35.fa.gz,ABB0583,Genus,,Faecal,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM070666_anno.tsv.gz,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM070666.gbk.gz,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM070666_kegg.tsv.gz,TRUE,DMB0170,0.88,Diprotodontia,Mammalia,51.1
EHM070722,EHA04823_bin.88.fa,EHA04823,2.3.0,d__Bacteria,p__Planctomycetota,c__SZUA-567,o__SZUA-567,f__SZUA-567,g__SZUA-421,s__,Lasiorhinus latifrons,76.87,97.82,2.1,2253342,49.00%,32850,128,1587,68,1069,605,483,30.4,DMB0170,0.01,0,https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0583/EHA04823_bin.88.fa.gz,ABB0583,Genus,,Faecal,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM070722_anno.tsv.gz,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM070722.gbk.gz,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM070722_kegg.tsv.gz,TRUE,DMB0170,0.91,Diprotodontia,Mammalia,61.9
EHM070689,EHA04823_bin.57.fa,EHA04823,2.3.0,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__F082,g__Limimorpha,s__,Lasiorhinus latifrons,81.39,97.73,0.66,1956402,41.00%,41707,82,1822,68,1443,882,351,19.3,DMB0170,0.69,0,https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0583/EHA04823_bin.57.fa.gz,ABB0583,Genus,,Faecal,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM070689_anno.tsv.gz,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM070689.gbk.gz,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM070689_kegg.tsv.gz,TRUE,DMB0170,0.93,Diprotodontia,Mammalia,51.6
EHM070621,EHA04823_bin.267.fa,EHA04823,2.3.0,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Peptostreptococcales,f__Anaerovoracaceae,g__JAKSSK01,s__,Lasiorhinus latifrons,80.44,97.7,0.74,1653379,29.00%,42077,78,1357,8,1100,739,235,17.3,DMB0170,0.28,0,https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0583/EHA04823_bin.267.fa.gz,ABB0583,Genus,,Faecal,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM070621_anno.tsv.gz,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM070621.gbk.gz,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM070621_kegg.tsv.gz,TRUE,DMB0170,0.93,Diprotodontia,Mammalia,45.5
EHM070464,EHA04823_bin.122.fa,EHA04823,2.3.0,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__UBA932,g__Cryptobacteroides,s__,Lasiorhinus latifrons,77.87,97.54,0.53,2335228,58.00%,46179,80,1824,130,1446,849,349,19.1,DMB0170,0.2,0,https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0583/EHA04823_bin.122.fa.gz,ABB0583,Genus,,Faecal,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM070464_anno.tsv.gz,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM070464.gbk.gz,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM070464_kegg.tsv.gz,TRUE,DMB0170,0.9,Diprotodontia,Mammalia,53.5
EHM070513,EHA04823_bin.169.fa,EHA04823,2.3.0,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Christensenellales,f__UBA1242,g__,s__,Lasiorhinus latifrons,76.65,97.52,5.6,1445117,32.00%,12084,195,796,8,510,339,269,33.8,DMB0170,0.05,0,https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0583/EHA04823_bin.169.fa.gz,ABB0583,Family,,Faecal,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM070513_anno.tsv.gz,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM070513.gbk.gz,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM070513_kegg.tsv.gz,TRUE,DMB0170,0.89,Diprotodontia,Mammalia,57.4
EHM070579,EHA04823_bin.228.fa,EHA04823,2.3.0,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Oscillospirales,f__CAG-272,g__RGIG3994,s__,Lasiorhinus latifrons,77.4,97.51,1.5,1608976,43.00%,31584,78,1321,31,1055,700,247,18.7,DMB0170,0.1,0,https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0583/EHA04823_bin.228.fa.gz,ABB0583,Genus,,Faecal,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM070579_anno.tsv.gz,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM070579.gbk.gz,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM070579_kegg.tsv.gz,TRUE,DMB0170,0.92,Diprotodontia,Mammalia,47
EHM070615,EHA04823_bin.261.fa,EHA04823,2.3.0,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Christensenellales,f__CAG-138,g__RUG472,s__,Lasiorhinus latifrons,78.56,97.49,1.67,1881871,53.00%,12656,222,1749,43,1420,927,300,17.2,DMB0170,0.2,0,https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0583/EHA04823_bin.261.fa.gz,ABB0583,Genus,,Faecal,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM070615_anno.tsv.gz,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM070615.gbk.gz,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM070615_kegg.tsv.gz,TRUE,DMB0170,0.9,Diprotodontia,Mammalia,47
EHM070496,EHA04823_bin.152.fa,EHA04823,2.3.0,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Oscillospirales,f__CAG-272,g__Flemingibacterium,s__,Lasiorhinus latifrons,0,97.47,1.48,1791010,42.00%,23906,123,1932,113,1484,742,424,21.9,DMB0170,0,0,https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0583/EHA04823_bin.152.fa.gz,ABB0583,Genus,,Faecal,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM070496_anno.tsv.gz,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM070496.gbk.gz,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM070496_kegg.tsv.gz,TRUE,DMB0170,0.9,Diprotodontia,Mammalia,61.6
EHM070553,EHA04823_bin.204.fa,EHA04823,2.3.0,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Christensenellales,f__CAG-1252,g__RUG14300,s__,Lasiorhinus latifrons,78.27,97.46,0.14,1442104,37.00%,65239,43,1028,26,794,519,218,21.2,DMB0170,0.12,0,https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0583/EHA04823_bin.204.fa.gz,ABB0583,Genus,,Faecal,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM070553_anno.tsv.gz,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM070553.gbk.gz,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM070553_kegg.tsv.gz,TRUE,DMB0170,0.9,Diprotodontia,Mammalia,49.5
EHM070713,EHA04823_bin.8.fa,EHA04823,2.3.0,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Paludibacteraceae,g__W0P28-013,s__,Lasiorhinus latifrons,76.93,97.34,0.25,2197557,49.00%,125871,32,1341,37,986,598,335,25,DMB0170,0.21,0,https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0583/EHA04823_bin.8.fa.gz,ABB0583,Genus,,Faecal,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM070713_anno.tsv.gz,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM070713.gbk.gz,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM070713_kegg.tsv.gz,TRUE,DMB0170,0.88,Diprotodontia,Mammalia,55.4
EHM070564,EHA04823_bin.214.fa,EHA04823,2.3.0,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Christensenellales,f__CAG-74,g__UBA1224,s__,Lasiorhinus latifrons,78.22,97.32,2.42,3958042,36.00%,72539,119,2008,90,1582,964,391,19.5,DMB0170,0.24,0,https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0583/EHA04823_bin.214.fa.gz,ABB0583,Genus,,Faecal,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM070564_anno.tsv.gz,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM070564.gbk.gz,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM070564_kegg.tsv.gz,TRUE,DMB0170,0.84,Diprotodontia,Mammalia,52
EHM070716,EHA04823_bin.82.fa,EHA04823,2.3.0,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__UBA1179,s__,Lasiorhinus latifrons,0,97.31,3.32,2179420,53.00%,90456,58,1710,95,1334,835,348,20.4,DMB0170,0,0,https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0583/EHA04823_bin.82.fa.gz,ABB0583,Genus,,Faecal,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM070716_anno.tsv.gz,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM070716.gbk.gz,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM070716_kegg.tsv.gz,TRUE,DMB0170,0.93,Diprotodontia,Mammalia,51.2
EHM070618,EHA04823_bin.264.fa,EHA04823,2.3.0,d__Bacteria,p__Bacillota,c__Bacilli,o__Erysipelotrichales,f__Erysipelotrichaceae,g__UBA636,s__,Lasiorhinus latifrons,0,97.22,1.38,1861634,52.00%,40745,60,1711,31,1294,763,383,22.4,DMB0170,0,0,https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0583/EHA04823_bin.264.fa.gz,ABB0583,Genus,,Faecal,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM070618_anno.tsv.gz,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM070618.gbk.gz,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM070618_kegg.tsv.gz,TRUE,DMB0170,0.91,Diprotodontia,Mammalia,55.4
EHM070566,EHA04823_bin.216.fa,EHA04823,2.3.0,d__Bacteria,p__Bacillota,c__Bacilli,o__RF39,f__UBA660,g__RUG12783,s__,Lasiorhinus latifrons,78.2,97.21,0.83,2206743,58.00%,81024,106,963,15,624,377,325,33.7,DMB0170,0.38,0,https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0583/EHA04823_bin.216.fa.gz,ABB0583,Genus,,Faecal,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM070566_anno.tsv.gz,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM070566.gbk.gz,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM070566_kegg.tsv.gz,TRUE,DMB0170,0.91,Diprotodontia,Mammalia,60.9
EHM070454,EHA04823_bin.113.fa,EHA04823,2.3.0,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Christensenellales,f__UBA1242,g__,s__,Lasiorhinus latifrons,75.13,97.15,0.6,1849594,56.00%,52424,73,785,13,537,387,234,29.8,DMB0170,0.02,0,https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0583/EHA04823_bin.113.fa.gz,ABB0583,Family,,Faecal,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM070454_anno.tsv.gz,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM070454.gbk.gz,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM070454_kegg.tsv.gz,TRUE,DMB0170,0.9,Diprotodontia,Mammalia,50.7
EHM070552,EHA04823_bin.203.fa,EHA04823,2.3.0,d__Bacteria,p__Bacillota,c__Bacilli,o__Acholeplasmatales,f__JAEDCM01,g__,s__,Lasiorhinus latifrons,0,97.15,0.14,1638984,36.00%,41417,75,1379,35,1048,725,309,22.4,DMB0170,0,0,https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0583/EHA04823_bin.203.fa.gz,ABB0583,Family,,Faecal,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM070552_anno.tsv.gz,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM070552.gbk.gz,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM070552_kegg.tsv.gz,TRUE,DMB0170,0.89,Diprotodontia,Mammalia,47.4
EHM070685,EHA04823_bin.53.fa,EHA04823,2.3.0,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__WCHB1-69,g__F23-D06,s__,Lasiorhinus latifrons,78.19,97.03,1.11,2373781,53.00%,7429,408,1613,46,1263,778,327,20.3,DMB0170,0.2,0,https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0583/EHA04823_bin.53.fa.gz,ABB0583,Genus,,Faecal,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM070685_anno.tsv.gz,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM070685.gbk.gz,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM070685_kegg.tsv.gz,TRUE,DMB0170,0.87,Diprotodontia,Mammalia,51.8
EHM070601,EHA04823_bin.249.fa,EHA04823,2.3.0,d__Bacteria,p__Bacillota,c__Bacilli,o__ML615J-28,f__CAG-313,g__CAG-313,s__,Lasiorhinus latifrons,79.6,96.96,0.31,1133243,30.00%,25313,89,1208,21,907,561,280,23.2,DMB0170,0.34,0,https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0583/EHA04823_bin.249.fa.gz,ABB0583,Genus,,Faecal,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM070601_anno.tsv.gz,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM070601.gbk.gz,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM070601_kegg.tsv.gz,TRUE,DMB0170,0.88,Diprotodontia,Mammalia,53.6
EHM070690,EHA04823_bin.58.fa,EHA04823,2.3.0,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Oscillospirales,f__Acutalibacteraceae,g__JAGZMM01,s__,Lasiorhinus latifrons,0,96.94,0.02,1049664,39.00%,53900,32,949,35,766,485,171,18,DMB0170,0,0,https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0583/EHA04823_bin.58.fa.gz,ABB0583,Genus,,Faecal,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM070690_anno.tsv.gz,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM070690.gbk.gz,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM070690_kegg.tsv.gz,TRUE,DMB0170,0.88,Diprotodontia,Mammalia,48.9
EHM070607,EHA04823_bin.254.fa,EHA04823,2.3.0,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__CAG-95,s__,Lasiorhinus latifrons,0,96.91,2.88,2209285,55.00%,19658,176,2695,108,2138,1338,526,19.5,DMB0170,0,0,https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0583/EHA04823_bin.254.fa.gz,ABB0583,Genus,,Faecal,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM070607_anno.tsv.gz,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM070607.gbk.gz,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM070607_kegg.tsv.gz,TRUE,DMB0170,0.9,Diprotodontia,Mammalia,50.4
EHM070687,EHA04823_bin.55.fa,EHA04823,2.3.0,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Acetatifactor,s__,Lasiorhinus latifrons,0,96.91,0.03,1608109,41.00%,90000,38,1842,69,1440,857,372,20.2,DMB0170,0,0,https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0583/EHA04823_bin.55.fa.gz,ABB0583,Genus,,Faecal,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM070687_anno.tsv.gz,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM070687.gbk.gz,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM070687_kegg.tsv.gz,TRUE,DMB0170,0.9,Diprotodontia,Mammalia,53.5
EHM070443,EHA04823_bin.102.fa,EHA04823,2.3.0,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__UBA932,g__Cryptobacteroides,s__,Lasiorhinus latifrons,77.68,96.89,4.83,1938724,54.00%,51396,73,1540,90,1216,790,302,19.6,DMB0170,0.1,0,https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0583/EHA04823_bin.102.fa.gz,ABB0583,Genus,,Faecal,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM070443_anno.tsv.gz,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM070443.gbk.gz,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM070443_kegg.tsv.gz,TRUE,DMB0170,0.92,Diprotodontia,Mammalia,48.7
EHM070562,EHA04823_bin.212.fa,EHA04823,2.3.0,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__,s__,Lasiorhinus latifrons,0,96.87,2.5,1682102,51.00%,15780,159,3405,134,2561,1642,786,23.1,DMB0170,0,0,https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0583/EHA04823_bin.212.fa.gz,ABB0583,Family,,Faecal,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM070562_anno.tsv.gz,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM070562.gbk.gz,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM070562_kegg.tsv.gz,TRUE,DMB0170,0.9,Diprotodontia,Mammalia,51.8
EHM070678,EHA04823_bin.47.fa,EHA04823,2.3.0,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Acetatifactor,s__,Lasiorhinus latifrons,77.58,96.82,2.66,2547545,57.00%,26895,138,855,27,616,295,225,26.3,DMB0170,0.14,0,https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0583/EHA04823_bin.47.fa.gz,ABB0583,Genus,,Faecal,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM070678_anno.tsv.gz,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM070678.gbk.gz,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM070678_kegg.tsv.gz,TRUE,DMB0170,0.93,Diprotodontia,Mammalia,65.5
EHM070489,EHA04823_bin.146.fa,EHA04823,2.3.0,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Oscillospirales,f__QAMX01,g__RUG11797,s__,Lasiorhinus latifrons,0,96.81,1.66,2159683,46.00%,40896,77,1810,104,1416,743,366,20.2,DMB0170,0,0,https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0583/EHA04823_bin.146.fa.gz,ABB0583,Genus,,Faecal,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM070489_anno.tsv.gz,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM070489.gbk.gz,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM070489_kegg.tsv.gz,TRUE,DMB0170,0.87,Diprotodontia,Mammalia,59
EHM070576,EHA04823_bin.225.fa,EHA04823,2.3.0,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Schaedlerella,s__,Lasiorhinus latifrons,0,96.8,0.37,1139565,33.00%,50231,38,2261,92,1790,1110,439,19.4,DMB0170,0,0,https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0583/EHA04823_bin.225.fa.gz,ABB0583,Genus,,Faecal,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM070576_anno.tsv.gz,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM070576.gbk.gz,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM070576_kegg.tsv.gz,TRUE,DMB0170,0.9,Diprotodontia,Mammalia,50.9
EHM070557,EHA04823_bin.208.fa,EHA04823,2.3.0,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__UBA932,g__Cryptobacteroides,s__,Lasiorhinus latifrons,77.47,96.77,3.4,2116818,54.00%,52963,63,1462,85,1222,796,219,15,DMB0170,0.17,0,https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0583/EHA04823_bin.208.fa.gz,ABB0583,Genus,,Faecal,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM070557_anno.tsv.gz,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM070557.gbk.gz,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM070557_kegg.tsv.gz,TRUE,DMB0170,0.91,Diprotodontia,Mammalia,45.6
EHM070626,EHA04823_bin.271.fa,EHA04823,2.3.0,d__Bacteria,p__Bacillota,c__Bacilli,o__RFN20,f__CAG-826,g__JAAYDH01,s__,Lasiorhinus latifrons,0,96.72,0.3,2638810,40.00%,66006,64,1118,35,824,505,278,24.9,DMB0170,0,0,https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0583/EHA04823_bin.271.fa.gz,ABB0583,Genus,,Faecal,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM070626_anno.tsv.gz,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM070626.gbk.gz,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM070626_kegg.tsv.gz,TRUE,DMB0170,0.92,Diprotodontia,Mammalia,54.8
EHM070555,EHA04823_bin.206.fa,EHA04823,2.3.0,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Christensenellales,f__CAG-74,g__RUG563,s__,Lasiorhinus latifrons,79.72,96.56,0.54,1444943,52.00%,136725,14,1846,102,1532,925,294,15.9,DMB0170,0.37,0,https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0583/EHA04823_bin.206.fa.gz,ABB0583,Genus,,Faecal,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM070555_anno.tsv.gz,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM070555.gbk.gz,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM070555_kegg.tsv.gz,TRUE,DMB0170,0.92,Diprotodontia,Mammalia,49.9
EHM070598,EHA04823_bin.246.fa,EHA04823,2.3.0,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Christensenellales,f__UBA1242,g__Onthoplasma,s__,Lasiorhinus latifrons,0,96.54,0.64,1797750,28.00%,81311,49,1052,18,630,420,405,38.5,DMB0170,0,0,https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0583/EHA04823_bin.246.fa.gz,ABB0583,Genus,,Faecal,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM070598_anno.tsv.gz,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM070598.gbk.gz,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM070598_kegg.tsv.gz,TRUE,DMB0170,0.92,Diprotodontia,Mammalia,60.1
EHM070538,EHA04823_bin.191.fa,EHA04823,2.3.0,d__Bacteria,p__Bacillota,c__Bacilli,o__RF39,f__UBA660,g__RUG591,s__,Lasiorhinus latifrons,82.04,96.52,0.17,2412838,58.00%,63949,60,715,5,470,278,239,33.4,DMB0170,0.77,0,https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0583/EHA04823_bin.191.fa.gz,ABB0583,Genus,,Faecal,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM070538_anno.tsv.gz,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM070538.gbk.gz,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM070538_kegg.tsv.gz,TRUE,DMB0170,0.91,Diprotodontia,Mammalia,61.1
EHM070441,EHA04823_bin.100.fa,EHA04823,2.3.0,d__Bacteria,p__Bacillota_A,c__Clostridia,o__Oscillospirales,f__Acutalibacteraceae,g__RUG806,s__,Lasiorhinus latifrons,0,96.51,5.18,2490491,44.00%,11460,311,2270,104,1652,925,587,25.9,DMB0170,0,0,https://sid.erda.dk/share_redirect/BaMZodj9sA/MAG/ABB0583/EHA04823_bin.100.fa.gz,ABB0583,Genus,,Faecal,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM070441_anno.tsv.gz,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM070441.gbk.gz,https://sid.erda.dk/share_redirect/BaMZodj9sA/ANN/EHM070441_kegg.tsv.gz,TRUE,DMB0170,0.9,Diprotodontia,Mammalia,59.3
